Voxel,Best_Alpha
"(15, 22, 46)",5.0
"(15, 22, 47)",5.0
"(15, 22, 48)",5.0
"(15, 22, 49)",5.0
"(15, 22, 50)",5.0
"(15, 22, 51)",5.0
"(15, 22, 52)",5.0
"(15, 22, 53)",5.0
"(15, 23, 30)",5.0
"(15, 23, 31)",5.0
"(15, 23, 32)",5.0
"(15, 23, 45)",5.0
"(15, 23, 46)",5.0
"(15, 23, 47)",5.0
"(15, 23, 48)",5.0
"(15, 23, 49)",5.0
"(15, 23, 50)",5.0
"(15, 23, 51)",5.0
"(15, 23, 52)",5.0
"(15, 23, 53)",5.0
"(15, 23, 54)",5.0
"(15, 23, 55)",5.0
"(15, 24, 30)",5.0
"(15, 24, 31)",5.0
"(15, 24, 32)",5.0
"(15, 24, 33)",5.0
"(15, 24, 40)",5.0
"(15, 24, 41)",5.0
"(15, 24, 42)",5.0
"(15, 24, 43)",5.0
"(15, 24, 44)",5.0
"(15, 24, 46)",5.0
"(15, 24, 47)",5.0
"(15, 24, 48)",5.0
"(15, 24, 49)",5.0
"(15, 24, 50)",5.0
"(15, 24, 51)",5.0
"(15, 24, 52)",5.0
"(15, 24, 53)",5.0
"(15, 24, 54)",5.0
"(15, 24, 55)",5.0
